month_start,region,category,sub_category,total_sales,order_lines,unique_customers,avg_ship_delay_days
2017-06-01,East,Office Supplies,Binders,423.95,10,9,3.4
2017-02-01,East,Technology,Phones,130.46,2,2,5.5
2017-04-01,West,Furniture,Furnishings,191.71,4,4,5.25
2017-02-01,East,Office Supplies,Fasteners,45.20,2,2,6.5
2017-02-01,East,Office Supplies,Binders,398.35,1,1,7.0
2017-03-01,East,Office Supplies,Appliances,901.95,1,1,0.0
2017-12-01,West,Office Supplies,Envelopes,188.32,5,5,4.2
2016-08-01,West,Office Supplies,Appliances,239.43,2,2,5.5
2015-12-01,East,Furniture,Tables,713.61,3,3,5.0
2018-01-01,East,Office Supplies,Paper,166.68,5,4,4.4
2018-08-01,South,Furniture,Chairs,1290.05,2,2,3.5
2015-03-01,West,Office Supplies,Binders,904.30,5,4,4.8
2016-08-01,West,Office Supplies,Art,77.24,5,5,5.4
2017-05-01,West,Office Supplies,Labels,27.72,1,1,3.0
2015-09-01,Central,Office Supplies,Supplies,357.93,1,1,7.0
2016-05-01,East,Office Supplies,Fasteners,15.60,2,2,2.0
2016-01-01,South,Office Supplies,Supplies,88.96,1,1,6.0
2015-06-01,Central,Office Supplies,Appliances,2040.67,3,3,5.666666666666667
2015-02-01,Central,Technology,Accessories,531.21,2,2,4.0
2017-09-01,Central,Technology,Machines,1362.90,1,1,6.0
2017-06-01,East,Office Supplies,Labels,221.97,7,6,4.571428571428571
2017-11-01,South,Office Supplies,Storage,2547.65,5,4,3.6
2017-03-01,East,Office Supplies,Art,117.86,3,3,3.3333333333333335
2015-03-01,East,Furniture,Bookcases,302.45,1,1,5.0
2017-05-01,East,Technology,Accessories,917.66,5,4,2.6
2018-08-01,Central,Office Supplies,Art,23.15,3,3,4.0
2017-11-01,West,Office Supplies,Fasteners,15.26,1,1,5.0
2018-03-01,West,Office Supplies,Appliances,788.93,4,4,3.25
2015-03-01,East,Office Supplies,Storage,44.67,1,1,5.0
2018-01-01,Central,Office Supplies,Labels,17.52,2,2,2.5
2016-10-01,West,Technology,Machines,59.99,1,1,3.0
2018-02-01,West,Furniture,Bookcases,203.98,1,1,4.0
2017-12-01,West,Office Supplies,Appliances,413.87,8,7,5.125
2017-11-01,East,Office Supplies,Labels,42.66,3,3,4.666666666666667
2018-08-01,West,Office Supplies,Labels,109.26,3,3,2.6666666666666665
2018-08-01,Central,Office Supplies,Storage,550.44,5,5,2.4
2016-10-01,Central,Furniture,Furnishings,221.30,3,3,1.6666666666666667
2016-06-01,East,Office Supplies,Binders,4324.36,5,4,4.8
2016-10-01,West,Office Supplies,Art,144.85,3,3,2.3333333333333335
2017-02-01,West,Technology,Phones,1229.89,3,3,4.0
2018-03-01,West,Office Supplies,Fasteners,13.02,1,1,4.0
2018-03-01,South,Office Supplies,Paper,17.64,1,1,2.0
2018-10-01,West,Office Supplies,Paper,816.49,10,9,4.5
2015-12-01,West,Technology,Machines,767.95,1,1,4.0
2018-08-01,South,Technology,Accessories,911.61,5,5,5.2
2016-09-01,West,Office Supplies,Art,633.49,8,7,4.125
2017-08-01,South,Furniture,Furnishings,296.34,2,2,4.0
2016-03-01,West,Furniture,Chairs,1099.89,2,2,3.5
2017-10-01,East,Technology,Accessories,98.16,1,1,1.0
2016-08-01,West,Furniture,Tables,1282.48,2,2,5.0
2015-10-01,West,Office Supplies,Storage,680.65,5,4,3.4
2016-03-01,East,Office Supplies,Appliances,3.55,1,1,4.0
2016-04-01,East,Office Supplies,Fasteners,24.45,3,2,5.0
2017-05-01,Central,Office Supplies,Binders,45.75,7,6,4.571428571428571
2015-07-01,South,Office Supplies,Envelopes,48.94,1,1,0.0
2018-07-01,East,Office Supplies,Labels,52.53,3,3,3.6666666666666665
2018-08-01,Central,Office Supplies,Supplies,64.60,3,3,6.0
2018-08-01,East,Furniture,Furnishings,255.52,5,2,5.4
2017-11-01,West,Office Supplies,Storage,1030.97,5,5,3.2
2018-09-01,Central,Office Supplies,Art,111.18,7,6,3.5714285714285716
2015-04-01,South,Furniture,Chairs,613.54,2,2,3.0
2017-07-01,East,Office Supplies,Fasteners,43.68,2,2,4.0
2015-06-01,South,Furniture,Tables,1527.28,2,2,3.0
2016-07-01,East,Technology,Phones,1110.93,3,3,3.3333333333333335
2015-12-01,South,Office Supplies,Storage,694.36,5,4,3.6
2016-04-01,South,Office Supplies,Art,2.62,1,1,4.0
2015-02-01,East,Office Supplies,Art,19.46,1,1,4.0
2015-11-01,West,Office Supplies,Paper,1593.15,19,18,4.2105263157894735
2016-06-01,Central,Office Supplies,Paper,140.93,5,5,3.8
2016-12-01,South,Office Supplies,Appliances,383.53,3,3,4.333333333333333
2016-02-01,East,Office Supplies,Labels,3.15,1,1,5.0
2017-04-01,South,Technology,Accessories,443.91,2,2,6.0
2015-11-01,East,Furniture,Furnishings,947.83,10,10,4.1
2018-06-01,South,Office Supplies,Paper,246.99,7,7,4.714285714285714
2016-02-01,West,Office Supplies,Binders,65.38,3,2,2.6666666666666665
2018-04-01,East,Technology,Phones,837.82,3,2,2.6666666666666665
2018-06-01,South,Office Supplies,Envelopes,37.61,1,1,1.0
2016-07-01,South,Office Supplies,Labels,306.71,2,2,6.0
2017-12-01,East,Office Supplies,Fasteners,57.60,4,4,4.25
2015-09-01,East,Furniture,Furnishings,1067.60,13,13,4.538461538461538
2016-05-01,Central,Furniture,Chairs,3381.11,4,3,2.5
2018-05-01,West,Office Supplies,Labels,96.07,2,2,4.0
2018-08-01,West,Office Supplies,Supplies,83.75,4,4,3.0
2017-11-01,West,Office Supplies,Appliances,1446.52,6,6,4.333333333333333
2015-07-01,Central,Furniture,Furnishings,34.24,2,2,4.0
2015-05-01,East,Technology,Copiers,1799.97,1,1,2.0
2018-07-01,East,Office Supplies,Binders,1045.69,9,8,4.555555555555555
2016-03-01,South,Office Supplies,Storage,225.07,3,3,3.0
2017-03-01,East,Office Supplies,Binders,749.89,9,7,3.111111111111111
2018-12-01,Central,Furniture,Furnishings,561.28,11,9,2.6363636363636362
2015-01-01,South,Furniture,Chairs,4187.70,3,3,4.333333333333333
